Wall time,Step,Value
1579517171,20880,0.415399998
1579517281,21020,0.435199976
1579517297,21040,0.431499988
1579517344,21100,0.449799985
1579517376,21140,0.417099983
1579517470,21260,0.443899989
1579517486,21280,0.479999989
1579517517,21320,0.476699978
1579517548,21360,0.468499988
1579517611,21440,0.488599986
1579517674,21520,0.522300005
1579517705,21560,0.507799983
1579517736,21600,0.505499959
1579517783,21660,0.527199984
1579517799,21680,0.510500014
1579517814,21700,0.528400004
1579517830,21720,0.500499964
1579517924,21840,0.5255
1579517940,21860,0.48269999
1579518034,21980,0.471899986
1579518066,22020,0.448399991
1579518097,22060,0.460299999
1579518113,22080,0.424199998
1579518129,22100,0.484799981
1579518270,22280,0.505899966
1579518301,22320,0.516499996
1579518348,22380,0.508599997
1579518411,22460,0.458499998
1579518442,22500,0.438499987
1579518458,22520,0.448899984
1579518520,22600,0.499499977
1579518536,22620,0.380099982
1579518567,22660,0.43629998
1579518583,22680,0.483399987
1579518599,22700,0.408899993
1579518646,22760,0.498999983
1579518662,22780,0.45539999
1579518819,22980,0.479900002
1579518851,23020,0.442199975
1579518866,23040,0.470299989
1579518913,23100,0.458299994
1579518929,23120,0.496799976
1579518944,23140,0.461899996
1579518991,23200,0.48969999
1579519007,23220,0.417799979
1579519022,23240,0.395999998
1579519259,23540,0.484399974
1579519306,23600,0.429399997
1579519337,23640,0.43779999
1579519353,23660,0.478199989
1579519384,23700,0.444099993
1579519400,23720,0.45539999
1579519447,23780,0.425699979
1579519494,23840,0.434699982
1579519510,23860,0.448499978
1579519526,23880,0.454400003
1579519541,23900,0.399999976
1579519569,23940,0.393899977
1579519597,23980,0.43599999
1579519626,24020,0.47329998
1579519654,24060,0.449599981
1579519669,24080,0.431599975
1579519697,24120,0.425499976
1579519725,24160,0.420599997
1579519754,24200,0.439599991
1579519768,24220,0.460099995
1579519782,24240,0.452899992
1579519796,24260,0.468499988
1579519810,24280,0.484699994
1579519951,24480,0.485499978
1579520007,24560,0.5
1579520064,24640,0.518999994
1579520078,24660,0.46329999
1579520092,24680,0.4921
1579520120,24720,0.504799962
1579520162,24780,0.513599992
1579520205,24840,0.504199982
1579520233,24880,0.504599988
1579520261,24920,0.520999968
1579520275,24940,0.52700001
1579520303,24980,0.516200006
1579520360,25060,0.520399988
1579520374,25080,0.520399988
1579520388,25100,0.503799975
1579520416,25140,0.498099983
1579520430,25160,0.511599958
1579520473,25220,0.46359998
1579520487,25240,0.485599995
1579520501,25260,0.427899987
1579520515,25280,0.457499981
1579520543,25320,0.469899982
1579520614,25420,0.496899992
1579520656,25480,0.513999999
1579520726,25580,0.526199996
1579520755,25620,0.539699972
1579520812,25700,0.532299995
1579520840,25740,0.539799988
1579520896,25820,0.530999959
1579520910,25840,0.529399991
1579520924,25860,0.500699997
1579520939,25880,0.528800011
1579520967,25920,0.464699984
1579521009,25980,0.528999984
1579521023,26000,0.380999982
1579521052,26040,0.482199997
1579521066,26060,0.52759999
1579521080,26080,0.377299994
1579521164,26200,0.505800009
1579521193,26240,0.455599993
1579521207,26260,0.452499986
1579521235,26300,0.3935
1579521249,26320,0.499299973
1579521291,26380,0.384499997
1579521305,26400,0.448199987
1579521376,26500,0.442799985
1579521390,26520,0.443699986
1579521404,26540,0.418199986
1579521446,26600,0.444599986
1579521474,26640,0.472000003
1579521489,26660,0.441100001
1579521503,26680,0.474099994
1579521517,26700,0.468400002
1579521531,26720,0.485299975
1579521545,26740,0.521099985
1579521630,26860,0.485199988
1579521700,26960,0.514499962
1579521714,26980,0.497099996
1579521728,27000,0.502099991
1579521799,27100,0.51699996
1579521855,27180,0.501399994
1579521883,27220,0.521799982
1579521897,27240,0.520200014
1579521954,27320,0.488899976
1579522010,27400,0.478100002
1579522109,27540,0.4833
1579522137,27580,0.466499984
1579522179,27640,0.505100012
1579522208,27680,0.508399963
1579522222,27700,0.498999983
1579522264,27760,0.550700009
1579522278,27780,0.500499964
1579522306,27820,0.514199972
1579522320,27840,0.538100004
1579522363,27900,0.54549998
1579522603,28240,0.463200003
1579522618,28260,0.423399985
1579522632,28280,0.421299994
1579522646,28300,0.457399994
1579522702,28380,0.455499977
1579522744,28440,0.481399983
1579522758,28460,0.519800007
1579522801,28520,0.502499998
1579522815,28540,0.501899958
1579522829,28560,0.507200003
1579522885,28640,0.520599961
1579522900,28660,0.547299981
1579522913,28680,0.527700007
1579522942,28720,0.539799988
1579522970,28760,0.541599989
1579522998,28800,0.539399981
1579523026,28840,0.538399994
1579523111,28960,0.528800011
1579523139,29000,0.524699986
1579523210,29100,0.538699985
1579523224,29120,0.475899994
1579523350,29300,0.440299988
1579523364,29320,0.497199982
1579523519,29540,0.437999994
1579523575,29620,0.503799975
1579523590,29640,0.477899998
1579523632,29700,0.518000007
1579523646,29720,0.489399999
1579523688,29780,0.529199958
1579523711,29820,0.491399974
1579523722,29840,0.435499996
1579523733,29860,0.512600005
1579523808,30000,0.495299995
1579523819,30020,0.4639
1579523830,30040,0.50059998
1579523841,30060,0.462899983
1579523873,30120,0.502299964
1579523894,30160,0.49969998
1579523905,30180,0.513199985
1579523916,30200,0.483199984
1579523926,30220,0.458199978
1579523982,30320,0.502600014
1579524003,30360,0.423099995
1579524057,30460,0.512899995
1579524068,30480,0.512499988
1579524101,30540,0.495399982
1579524175,30680,0.484599978
1579524196,30720,0.453500003
1579524305,30920,0.500400007
1579524326,30960,0.418599993
1579524337,30980,0.488899976
1579524360,31020,0.458399981
1579524370,31040,0.408999979
1579524392,31080,0.4912
1579524403,31100,0.45479998
1579524467,31220,0.503899992
1579524478,31240,0.455599993
1579524543,31360,0.5079
1579524553,31380,0.503899992
1579524653,31560,0.410699993
1579524696,31640,0.417599976
1579524717,31680,0.502399981
1579524760,31760,0.486199975
1579524826,31880,0.478899986
1579524858,31940,0.410999984
1579524879,31980,0.49089998
1579524913,32040,0.503399968
1579524935,32080,0.461299986
1579524946,32100,0.463
1579524990,32180,0.491099983
1579525000,32200,0.492599994
1579525022,32240,0.403899997
1579525032,32260,0.510199964
1579525054,32300,0.500100017
1579525086,32360,0.465999991
1579525097,32380,0.486900002
1579525108,32400,0.474299997
1579525151,32480,0.45569998
1579525172,32520,0.403299987
1579525183,32540,0.421099991
1579525194,32560,0.44689998
1579525215,32600,0.397399992
1579525237,32640,0.446199983
1579525258,32680,0.388399988
1579525290,32740,0.473499984
1579525322,32800,0.438199997
1579525333,32820,0.413699985
1579525344,32840,0.480599999
1579525376,32900,0.456099987
1579525397,32940,0.451899976
1579525408,32960,0.408499986
1579525441,33020,0.479599983
1579525451,33040,0.49179998
1579525484,33100,0.458899975
1579525526,33180,0.467699975
1579525537,33200,0.4991
1579525548,33220,0.441899985
1579525623,33360,0.505999982
1579525644,33400,0.514499962
1579525655,33420,0.540699959
1579525666,33440,0.497299999
1579525698,33500,0.529299974
1579525709,33520,0.52609998
1579525730,33560,0.533500016
1579525773,33640,0.550099969
1579525783,33660,0.528499961
1579525794,33680,0.549600005
1579525826,33740,0.534099996
1579525869,33820,0.535899997
1579525880,33840,0.513000011
1579525902,33880,0.502799988
1579525913,33900,0.515500009
1579525923,33920,0.494699985
1579525934,33940,0.501100004
1579525956,33980,0.481999993
1579525990,34040,0.487099975
1579526000,34060,0.481399983
1579526011,34080,0.495799989
1579526022,34100,0.472000003
1579526065,34180,0.500699997
1579526076,34200,0.530799985
1579526130,34300,0.506500006
1579526151,34340,0.5176
1579526162,34360,0.545399964
1579526172,34380,0.516799986
1579526215,34460,0.53549999
1579526248,34520,0.496299982
1579526270,34560,0.503099978
1579526303,34620,0.510399997
1579526314,34640,0.501199961
1579526325,34660,0.508899987
1579526335,34680,0.513599992
1579526346,34700,0.488700002
1579526369,34740,0.477499992
1579526391,34780,0.481699973
1579526424,34840,0.533999979
1579526435,34860,0.475599974
1579526458,34900,0.473199993
1579526469,34920,0.517799973
1579526479,34940,0.486799985
1579526512,35000,0.509899974
1579526535,35040,0.496999979
1579526546,35060,0.507699966
1579526556,35080,0.511399984
1579526567,35100,0.531499982
1579526643,35240,0.489399999
1579526654,35260,0.533999979
1579526688,35320,0.502999961
1579526741,35420,0.471299976
1579526784,35500,0.479900002
1579526847,35620,0.506999969
1579526858,35640,0.480399996
1579526880,35680,0.485699981
1579526923,35760,0.480499983
1579526933,35780,0.537599981
1579526944,35800,0.471899986
1579526966,35840,0.486299992
1579526977,35860,0.531300008
1579526988,35880,0.484399974
1579527031,35960,0.506999969
1579527075,36040,0.525200009
1579527097,36080,0.540199995
1579527109,36100,0.480799973
1579527197,36260,0.514499962
1579527207,36280,0.494099975
1579527240,36340,0.525099993
1579527272,36400,0.477200001
1579527315,36480,0.490199983
1579527336,36520,0.503399968
1579527379,36600,0.519800007
1579527433,36700,0.474999994
1579527444,36720,0.523199975
1579527487,36800,0.511900008
1579527498,36820,0.498299986
1579527530,36880,0.504400015
1579527541,36900,0.515599966
1579527551,36920,0.471699983
1579527583,36980,0.537199974
1579527617,37040,0.477899998
1579527628,37060,0.537400007
1579527650,37100,0.517399967
1579527672,37140,0.502999961
1579527683,37160,0.496199995
1579527694,37180,0.509499967
1579527769,37320,0.5273
1579527791,37360,0.539799988
1579527801,37380,0.488899976
1579527867,37500,0.517399967
1579527878,37520,0.479599983
1579527889,37540,0.522899985
1579527899,37560,0.487399995
1579527910,37580,0.537999988
1579527932,37620,0.528299987
1579527965,37680,0.488499999
1579528040,37820,0.476199985
1579528051,37840,0.520799994
1579528062,37860,0.489099979
1579528159,38040,0.505100012
1579528191,38100,0.516499996
1579528202,38120,0.479699999
1579528244,38200,0.479999989
1579528254,38220,0.531799972
1579528265,38240,0.478399992
1579528276,38260,0.543200016
1579528309,38320,0.49149999
1579528320,38340,0.511699975
1579528331,38360,0.496799976
1579528342,38380,0.512399971
1579528386,38460,0.490399987
1579528397,38480,0.538699985
1579528407,38500,0.484099984
1579528440,38560,0.546599984
1579528461,38600,0.52609998
1579528483,38640,0.51699996
1579528505,38680,0.515900016
1579528515,38700,0.511599958
